Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Block,-,4,5,True,True,-1.467944244087178,65.0,two-sided,0.14694198220645305,1.0,bonf,0.374,-0.15906595707198465,median_pupil_contraction_rate
Block,-,4,6,True,True,0.5077246912975953,65.0,two-sided,0.6133650070119084,1.0,bonf,0.153,0.053846524943195945,median_pupil_contraction_rate
Block,-,4,7,True,True,1.3724065930874834,65.0,two-sided,0.174654278711073,1.0,bonf,0.33,0.16244536888750308,median_pupil_contraction_rate
Block,-,4,8,True,True,-1.0856449242450323,65.0,two-sided,0.2816461118124987,1.0,bonf,0.237,-0.14669965278036082,median_pupil_contraction_rate
Block,-,5,6,True,True,2.4224345342267246,65.0,two-sided,0.01821349677212757,0.5099779096195719,bonf,2.018,0.21278638915726256,median_pupil_contraction_rate
Block,-,5,7,True,True,3.608938373748016,65.0,two-sided,0.0005981625066919319,0.016748550187374093,bonf,41.252,0.33715035318735176,median_pupil_contraction_rate
Block,-,5,8,True,True,0.2004960564668207,65.0,two-sided,0.8417186554711125,1.0,bonf,0.138,0.022481637543472446,median_pupil_contraction_rate
Block,-,6,7,True,True,1.1616981973654195,65.0,two-sided,0.24960618753700625,1.0,bonf,0.257,0.10411124109608895,median_pupil_contraction_rate
Block,-,6,8,True,True,-1.7533076565642294,65.0,two-sided,0.08426372197486737,1.0,bonf,0.573,-0.20314960923975378,median_pupil_contraction_rate
Block,-,7,8,True,True,-3.521274929157277,65.0,two-sided,0.0007907766898107509,0.022141747314701025,bonf,32.044,-0.3341662214808002,median_pupil_contraction_rate
Subject_Type,-,0,1,False,True,-2.3718377078731234,62.53991253224629,two-sided,0.020790976453384024,,,2.674,-0.5044041790486843,median_pupil_contraction_rate
Block * Subject_Type,1,0,1,False,True,-0.48870105167986144,45.427888502066615,two-sided,0.6274043878004119,1.0,bonf,0.296,-0.12037599812821304,median_pupil_contraction_rate
Block * Subject_Type,2,0,1,False,True,-1.8365323720573619,62.24769781904364,two-sided,0.07105475988887332,0.5684380791109865,bonf,1.077,-0.39210424272432925,median_pupil_contraction_rate
Block * Subject_Type,3,0,1,False,True,-1.1308379448292096,50.925276437109446,two-sided,0.2634209602221471,1.0,bonf,0.455,-0.2664151980520888,median_pupil_contraction_rate
Block * Subject_Type,4,0,1,False,True,-2.82993718733374,63.68231549323786,two-sided,0.006220933451641474,0.04976746761313179,bonf,6.869,-0.5892919645777822,median_pupil_contraction_rate
Block * Subject_Type,5,0,1,False,True,-2.464778013548774,63.75538109730892,two-sided,0.016414971039293638,0.1313197683143491,bonf,3.2,-0.4969931256619876,median_pupil_contraction_rate
Block * Subject_Type,6,0,1,False,True,-1.5821113235234523,60.13102079043078,two-sided,0.11887027002480595,0.9509621601984476,bonf,0.755,-0.3457032515331308,median_pupil_contraction_rate
Block * Subject_Type,7,0,1,False,True,-2.2084152876581484,54.7835793845729,two-sided,0.031418556001685936,0.2513484480134875,bonf,1.98,-0.5048705436760845,median_pupil_contraction_rate
Block * Subject_Type,8,0,1,False,True,-2.452556908473999,57.60650336736383,two-sided,0.017235313351894672,0.13788250681515737,bonf,3.124,-0.5480686885247643,median_pupil_contraction_rate
Block,-,1,2,True,True,-0.2659800352272548,65.0,two-sided,0.7910964509265158,1.0,bonf,0.14,-0.03379312390882371,max_pupil_dilation_rate
Block,-,1,3,True,True,0.6404511408072762,65.0,two-sided,0.5241307622946695,1.0,bonf,0.164,0.07724059131637293,max_pupil_dilation_rate
Block,-,1,4,True,True,-0.017463588190654866,65.0,two-sided,0.986120275955687,1.0,bonf,0.135,-0.0026895404455947727,max_pupil_dilation_rate
Block,-,1,5,True,True,0.9235359466960633,65.0,two-sided,0.35914369804788804,1.0,bonf,0.203,0.12825070808758482,max_pupil_dilation_rate
Block,-,1,6,True,True,-1.0355371477643358,65.0,two-sided,0.30425540304607507,1.0,bonf,0.225,-0.1442914626741433,max_pupil_dilation_rate
Block,-,1,7,True,True,-0.7238087853992391,65.0,two-sided,0.4717801425096725,1.0,bonf,0.174,-0.10487300829200526,max_pupil_dilation_rate
Block,-,1,8,True,True,1.9149529680862056,65.0,two-sided,0.05990082261363572,1.0,bonf,0.751,0.2978669089358349,max_pupil_dilation_rate
Block,-,2,3,True,True,0.9793298747685432,65.0,two-sided,0.33104806112854956,1.0,bonf,0.213,0.10302474352033779,max_pupil_dilation_rate
Block,-,2,4,True,True,0.18600999092243423,65.0,two-sided,0.8530162079330236,1.0,bonf,0.137,0.027523850772793162,max_pupil_dilation_rate
Block,-,2,5,True,True,0.9927572511925803,65.0,two-sided,0.32450965334513293,1.0,bonf,0.216,0.14933150980466176,max_pupil_dilation_rate
Block,-,2,6,True,True,-0.6420924345546725,65.0,two-sided,0.5230713365818982,1.0,bonf,0.165,-0.10493152572379569,max_pupil_dilation_rate
Block,-,2,7,True,True,-0.4503379372850442,65.0,two-sided,0.6539652897738175,1.0,bonf,0.149,-0.06315231558665553,max_pupil_dilation_rate
Block,-,2,8,True,True,2.123166516395198,65.0,two-sided,0.037552315211474535,1.0,bonf,1.1,0.30353653144755277,max_pupil_dilation_rate
Block,-,3,4,True,True,-0.4548588433506082,65.0,two-sided,0.650726371060218,1.0,bonf,0.149,-0.07032800822794637,max_pupil_dilation_rate
Block,-,3,5,True,True,0.3728470470122413,65.0,two-sided,0.7104753681873243,1.0,bonf,0.144,0.05088575311338753,max_pupil_dilation_rate
